model_type,series,horizon_days,lag_or_window_days,coefficient,std_error_two_way,t_stat,p_value,r2_within,cluster_variance_floor_applied,n,n_worlds,n_dates,date_start,date_end
shock_lag,kill_count,1,1,-0.0023380607991663896,0.0020154917733574314,-1.160044823835534,0.24603055687628084,0.014119203487648835,True,13896,61,232,2025-12-07,2026-07-29
shock_lag,direct_coin,1,1,-0.00043536026084547476,0.0006060990635604812,-0.7182988508313891,0.4725730385896634,0.013997799150384682,False,13896,61,232,2025-12-07,2026-07-29
shock_lag,potential_max,1,1,-0.0022510671273857615,0.0014200994414446861,-1.5851475338203929,0.1129328178082961,0.01425222824763972,True,13896,61,232,2025-12-07,2026-07-29
shock_lag,realized_25,1,1,-0.0015238339402334346,0.0011085202634460853,-1.3746559178776336,0.169238143837529,0.014177861180908136,False,13896,61,232,2025-12-07,2026-07-29
shock_lag,realized_50,1,1,-0.0019807590709163825,0.0013022730761410772,-1.5210013223845564,0.12825950547098405,0.014234995135819384,False,13896,61,232,2025-12-07,2026-07-29
shock_lag,realized_75,1,1,-0.0021700622022461286,0.0013813606701854847,-1.570959886931441,0.11619196654696776,0.014250351888663748,False,13896,61,232,2025-12-07,2026-07-29
shock_lag,realized_100,1,1,-0.0022510671273857615,0.0014200994414446861,-1.5851475338203929,0.1129328178082961,0.01425222824763972,True,13896,61,232,2025-12-07,2026-07-29
shock_lag,kill_count,7,1,-0.0008535252970746189,0.0036718488595661935,-0.23245109744943523,0.8161876655459512,0.01836342300455862,True,13530,61,226,2025-12-07,2026-07-23
shock_lag,direct_coin,7,1,0.0001584963595235624,0.0009962110115319235,0.15909918449890914,0.8735907307124781,0.018357352897075185,True,13530,61,226,2025-12-07,2026-07-23
shock_lag,potential_max,7,1,-0.0005205323558563007,0.0025726117614446892,-0.20233614867872166,0.8396539418011211,0.018360819983392007,True,13530,61,226,2025-12-07,2026-07-23
shock_lag,realized_25,7,1,-0.00019865943960007548,0.0018110880795298582,-0.10969065604564393,0.9126547110931214,0.01835614922432738,True,13530,61,226,2025-12-07,2026-07-23
shock_lag,realized_50,7,1,-0.00038533447049287056,0.002224045350325299,-0.17325836923087462,0.8624483452898801,0.018358776111675912,True,13530,61,226,2025-12-07,2026-07-23
shock_lag,realized_75,7,1,-0.00047498303901602056,0.0024449251446871357,-0.19427303942133642,0.8459620948725425,0.01836014500086325,True,13530,61,226,2025-12-07,2026-07-23
shock_lag,realized_100,7,1,-0.0005205323558563007,0.0025726117614446892,-0.20233614867872166,0.8396539418011211,0.018360819983392007,True,13530,61,226,2025-12-07,2026-07-23
shock_lag,kill_count,30,1,-0.003473233215559357,0.00466026995228008,-0.7452858420487091,0.4560989381679973,0.020603757222270147,True,12127,61,203,2025-12-07,2026-06-30
shock_lag,direct_coin,30,1,-0.0014933001122743779,0.0012511054455330531,-1.1935845356648846,0.2326405261466329,0.02066731251113707,True,12127,61,203,2025-12-07,2026-06-30
shock_lag,potential_max,30,1,-0.0032955934834153996,0.003271524843962815,-1.0073570095293638,0.31376324270075184,0.020673581125044027,True,12127,61,203,2025-12-07,2026-06-30
